quarter,cpi_qoq
1995Q1,1.6
1995Q2,1.3
1995Q3,1.2
1995Q4,0.8
1996Q1,0.5
1996Q2,0.6
1996Q3,0.3
1996Q4,0.3
1997Q1,0.0
1997Q2,-0.3
1997Q3,-0.3
1997Q4,0.3
1998Q1,0.1
1998Q2,0.6
1998Q3,0.3
1998Q4,0.4
1999Q1,-0.1
1999Q2,0.4
1999Q3,0.9
1999Q4,0.6
2000Q1,0.9
2000Q2,0.7
2000Q3,3.8
2000Q4,0.3
2001Q1,1.1
2001Q2,0.8
2001Q3,0.3
2001Q4,0.9
2002Q1,0.9
2002Q2,0.7
2002Q3,0.8
2002Q4,0.6
2003Q1,1.3
2003Q2,-0.1
2003Q3,0.6
2003Q4,0.6
2004Q1,0.8
2004Q2,0.5
2004Q3,0.4
2004Q4,1.0
2005Q1,0.5
2005Q2,0.6
2005Q3,1.0
2005Q4,0.6
2006Q1,0.8
2006Q2,1.5
2006Q3,0.8
2006Q4,0.1
2007Q1,0.0
2007Q2,1.2
2007Q3,0.6
2007Q4,1.2
2008Q1,1.2
2008Q2,1.3
2008Q3,1.1
2008Q4,0.0
2009Q1,-0.1
2009Q2,0.5
2009Q3,0.8
2009Q4,0.9
2010Q1,0.7
2010Q2,0.6
2010Q3,0.6
2010Q4,0.6
2011Q1,1.4
2011Q2,0.9
2011Q3,0.4
2011Q4,0.2
2012Q1,0.0
2012Q2,0.6
2012Q3,1.1
2012Q4,0.4
2013Q1,0.4
2013Q2,0.5
2013Q3,1.0
2013Q4,0.8
2014Q1,0.7
2014Q2,0.7
2014Q3,0.2
2014Q4,0.2
2015Q1,0.3
2015Q2,0.8
2015Q3,0.1
2015Q4,0.5
2016Q1,-0.1
2016Q2,0.6
2016Q3,0.5
2016Q4,0.5
2017Q1,0.6
2017Q2,0.4
2017Q3,0.4
2017Q4,0.7
2018Q1,0.5
2018Q2,0.4
2018Q3,0.3
2018Q4,0.4
2019Q1,0.1
2019Q2,0.7
2019Q3,0.4
2019Q4,0.6
2020Q1,0.5
2020Q2,-1.9
2020Q3,1.5
2020Q4,0.8
2021Q1,0.6
2021Q2,0.8
2021Q3,0.8
2021Q4,1.4
2022Q1,2.1
2022Q2,1.9
2022Q3,1.7
2022Q4,1.9
2023Q1,1.4
2023Q2,0.8
2023Q3,1.0
2023Q4,0.7
2024Q1,1.0
2024Q2,0.9
2024Q3,0.1
2024Q4,0.3
2025Q1,1.0
2025Q2,0.7
2025Q3,1.1
2025Q4,0.8
